Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
12,7,Mg,,,0, ,1/2-, ,1.14E-4, ,eV,0.000000000004002085219924436, ,2P,100, , , , , , , , , , , , ,,,,,-10811.9,83,18898.999,51,,,498.57,106,5902.025,2632,19034169.182,53678,31828.389,50001,
12,9,Mg,,0,0, ,5/2+, ,122,3,ms,0.122,0.003,EC+B+,100, ,B+P,32.6,1,B+A,0.5, , ,-0.983, , , ,-16086,596,,,-8021.51,83,13088.481,761,14645.16,200,3235.73,135,7105.031,36,21011705.764,810,10903.850,755,
12,11,Mg,,0,0, ,3/2+, ,11.317,11,s,11.317,0.011,EC+B+,100, , , , , , , , , , , , ,-12221.583,379,-31746,401,-9650.48,23,4056.339,158,13144.90,35,7580.97,23,7901.115,7,22994123.941,170,-5473.513,158,
12,13,Mg,3.0284,22,0, ,5/2+, ,STABLE, , , , , , , , , , , , , , ,-0.85545, ,0.201, ,-4276.808,45,-21215.23,24,-9885.92,6,-3834.97,120,7330.53,5,12063.85,5,8223.502,2,24985836.964,50,-13192.783,47,
12,15,Mg,,0,0, ,1/2+, ,9.458,12,m,567.5,0.7,B-,100, , , , , , , , ,-0.04107, , , ,2610.251,69,-10447.78,8,-11857.48,12,-9068.821,4,6443.39,4,15014.80,4,8263.852,2,26984340.628,53,-14586.611,50,
12,17,Mg,,0,0, ,3/2+, ,1.30,12,s,1.3,0.12,B-,100, , , , , , , , ,0.978, , , ,7604.931,11405,-1823.50,11,-10992.24,31,-13282.823,14,3655.30,12,16903.48,15,8113.202,393,28988617.393,12238,-10602.829,11400,
12,19,Mg,,0,0, ,1/2(+), ,236,20,ms,0.236,0.02,B-,100, ,B-N,6.2,1.9, , , , ,-0.88355, , , ,11828.555,3801,4671.38,4,-12597.98,91,-15368.182,14,2309.65,5,18885.79,6,7869.188,99,30996648.232,3300,-3122.151,3074,
12,21,Mg,,,0, ,3/2-, ,90.5,16,ms,0.0905,0.0016,B-,100, ,B-N,14,2, , , , ,-0.7456, , , ,13459.677,7559,7990.35,8,-15862.42,150,-18817.813,450,2280.12,4,20966.82,37,7636.455,88,33005327.245,3100,4962.297,2888,
12,23,Mg,,,0, ,(3/2- 5/2-), ,11.3,6,ms,0.0113,0.0006,B-,100, ,B-N,52,46,B-3N, , , , , , , ,15863.512,269768,10568.76,270,-17966.72,379,-22591.216,722,754.88,271,23329.30,657,7356.233,7705,35016790,289500,15639.784,269668,
12,25,Mg,,,0, , , ,8,4,ms,0.008,0.004,B-N, , ,N, , ,B-, , , , , , , ,18401.911,721814,14189.77,715,-20211,919,-25322.526,980,240.00,110,25380,974,7055.111,18890,37030286.265,750350,28211.474,698947,
12,27,Mg,,,0, , ,LT,180, ,ns,0.00000018, ,N, , , , , , , , , , , , , ,21625,650,17994,635,,,,,-130,100,,,6747,13,39045384,551,42275,513,
13,8,Al,,,0, ,(5/2+),LT,35, ,ns,0.000000035, ,P, , , , , , , , , , , , , ,,,,,-10608,1165,16086.15,596,,,-2223,596,6302,28,21028975,640,26990,596,
13,10,Al,,,0, ,5/2+, ,470,30,ms,0.47,0.03,EC+B+,100, ,B+P,0.46,0.23, , , , , , , , ,-16949,503,-34661,503,-8606.24,11,12221.583,379,19525,401,140.97,47,7335.727,15,23007244.351,370,6748.070,345,
13,12,Al,,,0, ,5/2+, ,7.183,12,s,7.183,0.012,EC+B+,100, , , , , , , , ,3.6455, , , ,-12743.299,10000,-27732.49,19,-9156.26,12,4276.808,8,16938.43,24,2271.38,7,8021.136,3,24990428.306,69,-8915.975,65,
13,14,Al,3.0610,31,0, ,5/2+, ,STABLE, , , , , , , , , , , , , , ,3.6415069, ,0.1466, ,-4812.359,96,-18127.16,12,-10091.92,5,-2610.25,6,13058.03,8,8271.29,6,8331.553,2,26981538.408,50,-17196.861,47,
13,16,Al,,,0, ,5/2+, ,6.56,6,m,394,4,B-,100, , , , , , , , , , , , ,3687.318,345,-4786.28,34,-11274.86,125,-7604.931,11,9428.43,35,10477.89,202,8348.464,12,28980453.164,370,-18207.760,345,
